name,course_type,institute_name,institute_tier,cgpa,cgpa_scale,year_of_grad,internship_count,internship_months,internship_employer_type,certifications,region,loan_amount,loan_emi,placed_3m,placed_6m,placed_12m,salary_lpa
Student_00017,Engineering,College of 17,3,7.08,10.0,2024,3,18,Startup,1,South,10.79,0.13,1,1,1,4.54
Student_00018,MBA,IIT 18,1,7.96,10.0,2024,1,4,MNC,4,West,29.04,0.35,1,1,1,9.14
Student_00019,MBA,State Engineering College 19,2,8.06,10.0,2024,0,0,,5,East,23.09,0.28,1,1,1,8.04
Student_00020,MBA,IIT 20,1,7.35,10.0,2024,2,6,Startup,3,East,25.52,0.31,1,1,1,12.82
Student_00021,MCA,University 21,2,8.81,10.0,2024,0,0,,4,North,10.9,0.13,1,1,1,13.99
Student_00022,MBA,Academy of 22,3,8.26,10.0,2024,2,10,PSU,4,North,16.33,0.2,1,1,1,5.78
Student_00023,Engineering,State Engineering College 23,2,7.69,10.0,2025,0,0,,4,Central,14.61,0.18,0,1,1,
Student_00024,Engineering,Academy of 24,3,7.6,10.0,2024,0,0,,3,North,8.47,0.1,0,0,1,
Student_00025,MCA,College of 25,3,6.79,10.0,2024,1,6,Startup,3,East,8.0,0.1,0,0,1,
Student_00026,MBA,University 26,2,7.26,10.0,2025,2,10,MNC,2,West,17.65,0.21,0,1,1,
Student_00027,Engineering,University 27,2,7.57,10.0,2026,1,3,Startup,5,South,12.71,0.15,1,1,1,5.91
Student_00028,MBA,University 28,2,8.52,10.0,2026,3,9,Startup,4,East,22.94,0.28,1,1,1,11.5
Student_00029,Engineering,University 29,2,5.67,10.0,2024,2,4,Startup,1,South,17.74,0.21,1,1,1,5.06
Student_00030,Engineering,Regional Institute 30,2,8.68,10.0,2026,1,6,MNC,4,East,15.3,0.18,1,1,1,6.35
Student_00031,MCA,State Engineering College 31,2,7.49,10.0,2026,1,5,PSU,2,West,11.57,0.14,1,1,1,5.58
Student_00032,MBA,NIT 32,1,5.87,10.0,2026,1,6,MNC,2,Central,33.33,0.4,1,1,1,10.12
Student_00033,Engineering,University 33,2,7.24,10.0,2026,1,4,MNC,3,East,16.09,0.19,1,1,1,8.05
Student_00034,Engineering,Regional Institute 34,2,8.38,10.0,2026,1,2,MNC,2,North,17.96,0.22,1,1,1,7.78
Student_00035,MBA,IIT 35,1,8.68,10.0,2024,3,6,Startup,4,Central,27.33,0.33,1,1,1,32.35
Student_00036,Engineering,IIT 36,1,6.53,10.0,2024,1,5,MNC,1,South,20.44,0.25,1,1,1,18.2
Student_00037,Engineering,BITS 37,1,5.71,10.0,2024,3,9,NGO,3,North,21.43,0.26,1,1,1,10.77
Student_00038,MCA,Institute of 38,3,6.18,10.0,2025,2,4,MNC,0,East,7.63,0.09,0,0,1,
Student_00039,Engineering,Institute of 39,3,5.88,10.0,2025,1,5,MNC,2,East,11.22,0.13,1,1,1,3.11
Student_00040,MCA,Regional Institute 40,2,7.64,10.0,2024,3,18,Startup,2,North,9.4,0.11,1,1,1,10.5
Student_00041,MSc,State Engineering College 41,2,6.08,10.0,2026,1,5,MNC,2,East,9.09,0.11,1,1,1,3.0
Student_00042,Engineering,College of 42,3,5.67,10.0,2025,1,2,Startup,2,South,11.33,0.14,1,1,1,5.28
Student_00043,MSc,Regional Institute 43,2,7.55,10.0,2024,1,6,MNC,4,North,7.87,0.09,1,1,1,7.63
Student_00044,MBA,State Engineering College 44,2,7.57,10.0,2024,0,0,,2,East,18.22,0.22,0,0,1,
Student_00045,MBA,College of 45,3,4.76,10.0,2025,0,0,,0,South,15.39,0.18,0,0,0,
Student_00046,MCA,NIT 46,1,8.52,10.0,2026,2,6,MNC,4,North,15.38,0.18,1,1,1,8.19
Student_00047,Engineering,College of 47,3,7.59,10.0,2025,1,3,PSU,3,North,8.94,0.11,0,0,1,
Student_00048,Engineering,Regional Institute 48,2,6.45,10.0,2024,2,12,MNC,4,North,12.53,0.15,1,1,1,8.95
Student_00049,Engineering,Institute of 49,3,7.45,10.0,2026,1,6,NGO,4,South,9.12,0.11,0,0,1,
Student_00050,MBA,University 50,2,7.62,10.0,2024,1,3,MNC,3,South,20.88,0.25,1,1,1,11.41
Student_00051,Engineering,Regional Institute 51,2,6.13,10.0,2024,1,3,Startup,2,South,12.83,0.15,0,1,1,
Student_00052,Engineering,IIT 52,1,7.82,10.0,2026,3,18,PSU,1,North,25.58,0.31,1,1,1,14.34
Student_00053,MCA,BITS 53,1,9.4,10.0,2026,0,0,,5,North,17.26,0.21,1,1,1,6.14
Student_00054,MCA,Regional Institute 54,2,7.93,10.0,2025,1,4,Startup,3,South,8.27,0.1,1,1,1,8.33
Student_00055,MBA,University 55,2,4.69,10.0,2025,1,4,MNC,0,West,17.21,0.21,1,1,1,6.83
Student_00056,Engineering,State Engineering College 56,2,7.8,10.0,2026,1,3,PSU,2,South,12.9,0.15,1,1,1,10.61
Student_00057,MBA,Regional Institute 57,2,6.97,10.0,2025,3,12,Startup,4,Central,20.92,0.25,1,1,1,5.15
Student_00058,Engineering,College of 58,3,6.77,10.0,2025,0,0,,2,West,8.5,0.1,0,0,0,
Student_00059,Engineering,University 59,2,6.78,10.0,2026,0,0,,1,West,13.42,0.16,1,1,1,9.6
Student_00060,Engineering,NIT 60,1,8.0,10.0,2026,1,6,Startup,3,North,19.03,0.23,1,1,1,11.21
Student_00061,MSc,University 61,2,5.63,10.0,2025,1,4,MNC,0,South,8.26,0.1,0,1,1,
Student_00062,Engineering,University 62,2,4.16,10.0,2025,1,5,Startup,0,West,14.38,0.17,1,1,1,3.39
Student_00063,MCA,Regional Institute 63,2,6.16,10.0,2024,1,2,MNC,2,East,10.1,0.12,0,1,1,
Student_00064,Engineering,University 64,2,9.0,10.0,2025,0,0,,3,Central,15.86,0.19,1,1,1,4.32
Student_00065,Engineering,State Engineering College 65,2,8.62,10.0,2024,0,0,,5,East,16.8,0.2,1,1,1,11.4
Student_00066,Engineering,BITS 66,1,6.03,10.0,2025,1,4,NGO,3,North,18.78,0.23,1,1,1,12.68
Student_00067,Engineering,State Engineering College 67,2,8.33,10.0,2025,5,15,MNC,5,West,14.18,0.17,1,1,1,8.72
Student_00068,MBA,College of 68,3,7.07,10.0,2025,2,6,MNC,3,South,11.98,0.14,1,1,1,6.2
Student_00069,Engineering,Academy of 69,3,7.52,10.0,2024,1,3,Startup,2,South,10.49,0.13,1,1,1,5.0
Student_00070,MBA,College of 70,3,6.42,10.0,2025,1,6,MNC,4,South,12.13,0.15,0,1,1,
Student_00071,Engineering,Institute of 71,3,6.41,10.0,2026,1,6,PSU,2,Central,12.41,0.15,0,0,1,
Student_00072,MBA,IIT 72,1,5.39,10.0,2026,0,0,,2,West,31.48,0.38,1,1,1,11.4
Student_00073,Engineering,State Engineering College 73,2,5.98,10.0,2024,2,8,PSU,3,East,14.17,0.17,1,1,1,3.98
Student_00074,Engineering,IIT 74,1,7.41,10.0,2024,4,8,NGO,2,East,18.4,0.22,1,1,1,14.33
Student_00075,Engineering,Regional Institute 75,2,5.16,10.0,2024,1,3,Startup,2,West,15.13,0.18,1,1,1,4.93
Student_00076,MBA,Regional Institute 76,2,5.97,10.0,2025,3,15,Startup,3,South,20.16,0.24,1,1,1,11.65
Student_00077,Engineering,Regional Institute 77,2,7.24,10.0,2026,1,6,Startup,1,West,16.6,0.2,1,1,1,9.19
Student_00078,MCA,University 78,2,10.0,10.0,2024,3,18,PSU,5,South,10.86,0.13,1,1,1,7.29
Student_00079,Engineering,Regional Institute 79,2,8.05,10.0,2026,0,0,,4,North,15.53,0.19,0,1,1,
Student_00080,MCA,College of 80,3,7.2,10.0,2024,4,20,PSU,4,West,8.28,0.1,1,1,1,3.42
Student_00081,MCA,Institute of 81,3,7.38,10.0,2025,1,2,NGO,0,North,6.03,0.07,0,1,1,
Student_00082,MBA,Institute of 82,3,6.65,10.0,2024,2,4,Startup,2,South,13.04,0.16,0,1,1,
Student_00083,MBA,College of 83,3,6.66,10.0,2024,1,4,PSU,2,North,15.97,0.19,0,1,1,
Student_00084,MCA,University 84,2,10.0,10.0,2024,2,12,PSU,5,West,8.64,0.1,1,1,1,6.93
Student_00085,Engineering,Regional Institute 85,2,7.88,10.0,2025,4,16,MNC,2,North,13.55,0.16,1,1,1,6.02
Student_00086,MBA,BITS 86,1,7.2,10.0,2026,0,0,,3,North,27.4,0.33,1,1,1,12.17
Student_00087,Engineering,BITS 87,1,8.92,10.0,2024,0,0,,4,West,26.53,0.32,1,1,1,12.77
Student_00088,Engineering,BITS 88,1,8.4,10.0,2026,0,0,,5,West,22.01,0.26,1,1,1,17.53
Student_00089,Engineering,State Engineering College 89,2,5.45,10.0,2024,3,9,MNC,1,Central,16.96,0.2,0,1,1,
Student_00090,MCA,University 90,2,9.16,10.0,2025,1,4,MNC,3,North,10.55,0.13,0,1,1,
Student_00091,Engineering,University 91,2,8.58,10.0,2025,0,0,,5,East,17.81,0.21,0,1,1,
Student_00092,MCA,IIT 92,1,7.25,10.0,2025,5,30,NGO,1,North,13.49,0.16,1,1,1,15.94
Student_00093,Engineering,University 93,2,9.3,10.0,2025,0,0,,4,South,14.37,0.17,1,1,1,14.88
Student_00094,MBA,Academy of 94,3,7.04,10.0,2025,6,30,NGO,4,South,13.03,0.16,1,1,1,5.36
Student_00095,Engineering,State Engineering College 95,2,7.53,10.0,2024,1,5,MNC,3,Central,12.75,0.15,1,1,1,7.8
Student_00096,MBA,College of 96,3,7.66,10.0,2025,2,10,PSU,2,West,16.21,0.19,0,1,1,
Student_00097,MBA,Regional Institute 97,2,7.26,10.0,2024,2,10,MNC,4,West,17.46,0.21,0,1,1,
Student_00098,MBA,Institute of 98,3,9.08,10.0,2024,2,12,NGO,2,East,16.06,0.19,1,1,1,6.43
Student_00099,MBA,Institute of 99,3,5.5,10.0,2025,1,5,PSU,1,South,13.41,0.16,0,1,1,
Student_00100,MBA,University 00,2,9.08,10.0,2024,2,8,Startup,4,West,23.27,0.28,1,1,1,11.89
Student_00101,Engineering,BITS 01,1,7.89,10.0,2025,1,2,Startup,5,East,25.72,0.31,1,1,1,11.42
Student_00102,Engineering,BITS 02,1,9.56,10.0,2025,1,3,MNC,5,South,21.88,0.26,1,1,1,22.95
Student_00103,Engineering,State Engineering College 03,2,9.3,10.0,2025,0,0,,5,West,17.07,0.2,1,1,1,10.66
Student_00104,Engineering,Academy of 04,3,8.74,10.0,2025,0,0,,5,North,8.91,0.11,0,1,1,
Student_00105,MSc,Regional Institute 05,2,7.79,10.0,2024,1,5,MNC,1,Central,9.18,0.11,0,1,1,
Student_00106,MBA,State Engineering College 06,2,4.98,10.0,2026,0,0,,0,South,21.39,0.26,1,1,1,16.25
Student_00107,Engineering,College of 07,3,7.83,10.0,2024,1,3,Startup,1,South,11.89,0.14,1,1,1,3.82
Student_00108,MCA,College of 08,3,7.02,10.0,2026,5,25,MNC,2,South,5.85,0.07,0,1,1,
Student_00109,Engineering,Regional Institute 09,2,7.83,10.0,2026,3,9,PSU,2,South,13.95,0.17,1,1,1,6.87
Student_00110,Engineering,Regional Institute 10,2,7.52,10.0,2025,2,4,Startup,3,North,15.0,0.18,1,1,1,10.26
Student_00111,MSc,Regional Institute 11,2,8.34,10.0,2025,3,18,Startup,3,South,9.46,0.11,1,1,1,7.13
Student_00112,Engineering,IIT 12,1,8.52,10.0,2024,0,0,,3,West,26.41,0.32,0,1,1,
Student_00113,Engineering,State Engineering College 13,2,7.46,10.0,2026,1,5,Startup,3,East,14.48,0.17,1,1,1,5.24
Student_00114,Engineering,BITS 14,1,8.16,10.0,2024,2,6,MNC,2,South,21.36,0.26,1,1,1,9.57
Student_00115,MBA,University 15,2,7.8,10.0,2024,2,4,PSU,2,South,18.2,0.22,1,1,1,18.21
Student_00116,Engineering,Institute of 16,3,9.68,10.0,2024,2,4,PSU,4,North,11.1,0.13,1,1,1,4.28
Student_00117,Engineering,State Engineering College 17,2,5.66,10.0,2026,3,18,Startup,1,South,14.05,0.17,1,1,1,6.19
Student_00118,MSc,Academy of 18,3,5.52,10.0,2024,1,6,NGO,0,South,5.64,0.07,0,1,1,
Student_00119,MCA,NIT 19,1,8.75,10.0,2024,1,3,Startup,5,South,17.97,0.22,1,1,1,7.17
Student_00120,Engineering,Regional Institute 20,2,5.9,10.0,2025,1,6,MNC,2,North,14.09,0.17,1,1,1,9.46
Student_00121,MCA,University 21,2,7.13,10.0,2026,1,5,NGO,5,West,9.03,0.11,1,1,1,5.15
Student_00122,MCA,Institute of 22,3,7.83,10.0,2025,2,12,MNC,4,South,6.46,0.08,1,1,1,4.24
Student_00123,Engineering,State Engineering College 23,2,8.35,10.0,2024,3,15,PSU,4,Central,17.21,0.21,1,1,1,10.01
Student_00124,MCA,Institute of 24,3,7.15,10.0,2026,1,6,MNC,4,North,6.94,0.08,0,0,1,
Student_00125,MCA,State Engineering College 25,2,6.27,10.0,2024,3,18,MNC,0,North,11.86,0.14,0,1,1,
Student_00126,Engineering,State Engineering College 26,2,7.86,10.0,2025,1,5,PSU,5,North,13.15,0.16,1,1,1,10.22
Student_00127,Engineering,University 27,2,5.08,10.0,2024,2,8,MNC,0,West,15.8,0.19,1,1,1,7.03
Student_00128,Engineering,University 28,2,9.33,10.0,2026,0,0,,5,East,15.92,0.19,1,1,1,7.27
Student_00129,MBA,University 29,2,9.09,10.0,2025,1,6,PSU,5,South,17.1,0.21,1,1,1,13.51
Student_00130,Engineering,Regional Institute 30,2,6.54,10.0,2026,0,0,,1,Central,12.66,0.15,0,1,1,
Student_00131,Engineering,University 31,2,8.94,10.0,2025,1,5,MNC,4,West,14.35,0.17,1,1,1,7.64
Student_00132,MCA,Academy of 32,3,8.06,10.0,2024,0,0,,4,Central,6.68,0.08,0,0,1,
Student_00133,Engineering,Regional Institute 33,2,7.7,10.0,2024,3,15,Startup,3,North,13.78,0.17,1,1,1,5.61
Student_00134,MCA,University 34,2,9.06,10.0,2024,1,4,Startup,4,West,11.6,0.14,1,1,1,7.58
Student_00135,Engineering,Institute of 35,3,6.48,10.0,2025,2,10,Startup,3,East,11.54,0.14,1,1,1,6.25
Student_00136,MBA,Institute of 36,3,9.66,10.0,2024,0,0,,5,Central,14.63,0.18,1,1,1,4.33
Student_00137,Engineering,College of 37,3,5.16,10.0,2025,0,0,,0,West,11.96,0.14,0,0,0,
Student_00138,Engineering,College of 38,3,8.51,10.0,2024,4,16,MNC,4,West,8.79,0.11,1,1,1,3.88
Student_00139,Engineering,Academy of 39,3,6.06,10.0,2026,3,12,MNC,0,East,9.08,0.11,1,1,1,3.81
Student_00140,MCA,Regional Institute 40,2,8.22,10.0,2026,1,3,Startup,4,West,10.75,0.13,1,1,1,8.78
Student_00141,MCA,State Engineering College 41,2,9.47,10.0,2024,2,4,NGO,5,South,11.51,0.14,1,1,1,17.1
Student_00142,MBA,College of 42,3,6.52,10.0,2024,2,12,MNC,1,North,13.37,0.16,1,1,1,3.0
Student_00143,MBA,State Engineering College 43,2,7.53,10.0,2024,0,0,,4,West,20.79,0.25,1,1,1,12.46
Student_00144,MBA,State Engineering College 44,2,6.31,10.0,2025,2,10,Startup,2,North,16.71,0.2,1,1,1,8.9
Student_00145,MSc,University 45,2,9.32,10.0,2026,3,12,Startup,2,West,7.05,0.08,1,1,1,7.86
Student_00146,MBA,State Engineering College 46,2,8.36,10.0,2024,3,12,Startup,2,West,19.67,0.24,1,1,1,16.16
Student_00147,Engineering,University 47,2,7.47,10.0,2025,2,10,MNC,3,Central,13.7,0.16,1,1,1,11.88
Student_00148,MSc,NIT 48,1,8.56,10.0,2024,1,2,PSU,5,South,13.95,0.17,1,1,1,7.19
Student_00149,Engineering,BITS 49,1,4.59,10.0,2024,1,4,NGO,0,Central,20.34,0.24,1,1,1,11.09
Student_00150,MBA,College of 50,3,6.17,10.0,2024,3,6,MNC,2,South,16.69,0.2,0,1,1,
Student_00151,Engineering,Regional Institute 51,2,8.18,10.0,2026,3,9,Startup,4,Central,15.91,0.19,1,1,1,3.68
Student_00152,Engineering,Regional Institute 52,2,6.29,10.0,2024,2,8,PSU,1,South,13.23,0.16,1,1,1,6.38
Student_00153,MCA,Academy of 53,3,9.45,10.0,2025,1,2,Startup,4,East,6.69,0.08,1,1,1,3.25
Student_00154,Engineering,Institute of 54,3,6.39,10.0,2025,1,4,PSU,4,North,11.07,0.13,0,0,1,
Student_00155,MBA,Academy of 55,3,8.42,10.0,2025,0,0,,3,West,16.71,0.2,0,0,1,
Student_00156,Engineering,NIT 56,1,7.27,10.0,2024,0,0,,1,East,25.94,0.31,1,1,1,9.4
Student_00157,MBA,Academy of 57,3,7.74,10.0,2024,4,20,NGO,1,East,13.32,0.16,1,1,1,5.28
Student_00158,Engineering,College of 58,3,8.17,10.0,2025,2,10,MNC,4,West,9.81,0.12,1,1,1,7.09
Student_00159,MBA,BITS 59,1,7.47,10.0,2024,1,6,Startup,1,West,32.86,0.39,1,1,1,26.79
Student_00160,MCA,Academy of 60,3,5.55,10.0,2024,1,6,Startup,1,East,7.94,0.1,1,1,1,3.0
Student_00161,MBA,State Engineering College 61,2,8.13,10.0,2026,2,12,MNC,4,East,21.32,0.26,1,1,1,11.89
Student_00162,MSc,University 62,2,8.3,10.0,2026,2,10,Startup,5,South,6.49,0.08,1,1,1,5.85
Student_00163,Engineering,Academy of 63,3,7.14,10.0,2026,6,12,MNC,2,South,8.81,0.11,1,1,1,4.84
Student_00164,Engineering,Regional Institute 64,2,9.71,10.0,2025,1,4,MNC,5,West,17.93,0.22,1,1,1,5.97
Student_00165,MBA,University 65,2,5.97,10.0,2024,2,8,NGO,3,South,16.92,0.2,0,1,1,
Student_00166,MCA,NIT 66,1,7.82,10.0,2025,3,15,NGO,3,North,13.02,0.16,1,1,1,12.51
Student_00167,MBA,College of 67,3,9.22,10.0,2026,1,5,Startup,5,East,15.36,0.18,1,1,1,6.48
Student_00168,Engineering,Regional Institute 68,2,6.75,10.0,2025,1,3,NGO,1,South,15.74,0.19,1,1,1,6.86
Student_00169,MBA,Regional Institute 69,2,5.95,10.0,2025,2,8,PSU,1,South,19.17,0.23,1,1,1,3.45
Student_00170,Engineering,IIT 70,1,8.5,10.0,2026,3,18,Startup,5,South,21.51,0.26,1,1,1,11.09
Student_00171,Engineering,Institute of 71,3,7.91,10.0,2025,1,3,NGO,2,North,9.48,0.11,1,1,1,5.9
Student_00172,Engineering,IIT 72,1,9.43,10.0,2026,1,3,MNC,5,South,20.89,0.25,1,1,1,18.74
Student_00173,MBA,Academy of 73,3,9.64,10.0,2024,3,6,Startup,4,West,14.19,0.17,0,1,1,
Student_00174,Engineering,BITS 74,1,6.22,10.0,2026,1,2,MNC,2,Central,18.61,0.22,1,1,1,15.62
Student_00175,MCA,Regional Institute 75,2,7.33,10.0,2026,1,2,MNC,2,South,11.67,0.14,0,1,1,
Student_00176,Engineering,University 76,2,8.45,10.0,2025,3,15,Startup,5,West,12.15,0.15,1,1,1,4.54
Student_00177,Engineering,State Engineering College 77,2,5.8,10.0,2025,1,6,Startup,3,East,13.0,0.16,1,1,1,8.36
Student_00178,Engineering,Academy of 78,3,6.16,10.0,2025,0,0,,3,South,10.45,0.13,0,1,1,
Student_00179,MCA,IIT 79,1,7.62,10.0,2026,1,4,NGO,3,West,14.31,0.17,1,1,1,9.8
Student_00180,MBA,University 80,2,8.04,10.0,2026,0,0,,3,South,18.42,0.22,0,1,1,
Student_00181,MSc,Regional Institute 81,2,5.99,10.0,2026,1,5,Startup,5,North,8.9,0.11,1,1,1,3.6
Student_00182,MCA,Academy of 82,3,6.24,10.0,2026,2,12,Startup,2,North,8.04,0.1,0,0,1,
Student_00183,MCA,BITS 83,1,6.06,10.0,2026,0,0,,3,South,14.78,0.18,0,1,1,
Student_00184,MBA,Academy of 84,3,8.85,10.0,2026,1,2,Startup,4,East,15.26,0.18,1,1,1,6.71
Student_00185,MBA,College of 85,3,4.86,10.0,2024,4,24,Startup,1,West,14.06,0.17,0,1,1,
Student_00186,MSc,State Engineering College 86,2,5.45,10.0,2026,0,0,,1,East,7.36,0.09,0,1,1,
Student_00187,Engineering,Regional Institute 87,2,6.75,10.0,2024,1,4,MNC,5,North,14.05,0.17,1,1,1,8.39
Student_00188,MBA,State Engineering College 88,2,7.72,10.0,2024,0,0,,3,West,18.45,0.22,0,1,1,
Student_00189,MBA,University 89,2,7.67,10.0,2025,2,8,Startup,4,North,16.58,0.2,1,1,1,8.67
Student_00190,Engineering,University 90,2,7.6,10.0,2025,1,4,MNC,3,West,13.13,0.16,1,1,1,11.03
Student_00191,MCA,College of 91,3,6.93,10.0,2026,2,10,Startup,2,West,6.0,0.07,0,0,1,
Student_00192,Engineering,Academy of 92,3,7.47,10.0,2026,0,0,,3,North,10.55,0.13,0,1,1,
Student_00193,Engineering,NIT 93,1,5.38,10.0,2024,1,3,Startup,1,Central,19.17,0.23,0,1,1,
Student_00194,MSc,Regional Institute 94,2,7.75,10.0,2025,2,10,Startup,4,North,8.56,0.1,0,1,1,
Student_00195,Engineering,IIT 95,1,8.77,10.0,2024,1,5,MNC,4,Central,21.47,0.26,1,1,1,13.51
Student_00196,Engineering,College of 96,3,6.34,10.0,2024,0,0,,2,West,10.15,0.12,0,0,0,
Student_00197,MBA,Institute of 97,3,8.62,10.0,2025,3,6,MNC,4,West,13.41,0.16,1,1,1,6.05
Student_00198,Engineering,Institute of 98,3,7.73,10.0,2024,1,3,Startup,4,East,12.39,0.15,0,0,1,
Student_00199,MBA,IIT 99,1,7.32,10.0,2025,2,12,Startup,1,South,30.26,0.36,1,1,1,18.26
Student_00200,Engineering,College of 00,3,8.36,10.0,2024,0,0,,3,West,9.86,0.12,1,1,1,5.04
Student_00201,Engineering,State Engineering College 01,2,9.36,10.0,2026,1,5,PSU,5,West,13.82,0.17,1,1,1,4.2
Student_00202,Engineering,BITS 02,1,6.38,10.0,2026,1,5,Startup,0,Central,26.66,0.32,1,1,1,10.72
Student_00203,Engineering,IIT 03,1,7.78,10.0,2024,1,3,NGO,2,South,26.16,0.31,0,1,1,
Student_00204,MSc,IIT 04,1,8.85,10.0,2025,2,4,PSU,4,Central,9.81,0.12,1,1,1,10.61
Student_00205,Engineering,University 05,2,8.74,10.0,2025,5,30,Startup,4,West,16.05,0.19,1,1,1,6.22
Student_00206,Engineering,NIT 06,1,7.51,10.0,2026,1,5,NGO,0,West,20.34,0.24,1,1,1,12.7
Student_00207,MBA,State Engineering College 07,2,6.64,10.0,2025,1,4,PSU,2,East,22.83,0.27,0,0,1,
Student_00208,Engineering,Academy of 08,3,7.69,10.0,2025,1,2,MNC,3,West,9.75,0.12,1,1,1,3.15
Student_00209,MBA,College of 09,3,8.23,10.0,2025,0,0,,4,North,12.82,0.15,0,1,1,
Student_00210,MCA,State Engineering College 10,2,5.89,10.0,2025,3,9,NGO,1,East,11.51,0.14,0,1,1,
Student_00211,Engineering,Academy of 11,3,5.58,10.0,2026,2,4,MNC,2,South,10.84,0.13,0,1,1,
Student_00212,Engineering,Regional Institute 12,2,6.53,10.0,2025,5,15,MNC,2,North,12.43,0.15,0,1,1,
Student_00213,MSc,BITS 13,1,8.65,10.0,2026,1,4,PSU,4,East,11.64,0.14,1,1,1,5.23
Student_00214,Engineering,IIT 14,1,7.88,10.0,2024,1,2,MNC,4,West,25.94,0.31,1,1,1,12.35
Student_00215,Engineering,NIT 15,1,7.24,10.0,2025,2,4,PSU,3,South,21.34,0.26,1,1,1,10.17
Student_00216,MCA,Academy of 16,3,8.05,10.0,2024,3,6,Startup,4,West,7.36,0.09,1,1,1,3.0
Student_00217,Engineering,University 17,2,7.66,10.0,2025,2,12,MNC,3,South,16.18,0.19,0,1,1,
Student_00218,MBA,Institute of 18,3,8.48,10.0,2025,2,8,MNC,5,North,11.87,0.14,1,1,1,6.44
Student_00219,MBA,College of 19,3,6.65,10.0,2024,1,5,PSU,3,South,15.14,0.18,0,1,1,
Student_00220,Engineering,Academy of 20,3,9.75,10.0,2025,1,4,PSU,5,South,12.44,0.15,1,1,1,4.04
Student_00221,MSc,Academy of 21,3,7.44,10.0,2026,1,2,MNC,3,South,5.88,0.07,0,0,1,
Student_00222,Engineering,University 22,2,7.58,10.0,2025,1,2,NGO,3,West,14.14,0.17,1,1,1,5.82
Student_00223,Engineering,IIT 23,1,8.99,10.0,2026,0,0,,5,Central,19.05,0.23,1,1,1,9.73
Student_00224,MSc,Academy of 24,3,8.07,10.0,2026,3,18,NGO,5,South,4.91,0.06,1,1,1,5.52
Student_00225,Engineering,Regional Institute 25,2,7.62,10.0,2024,3,9,PSU,4,East,14.58,0.17,0,1,1,
Student_00226,Engineering,Regional Institute 26,2,5.77,10.0,2026,0,0,,2,East,16.03,0.19,0,0,1,
Student_00227,Engineering,University 27,2,5.52,10.0,2025,0,0,,0,South,17.63,0.21,1,1,1,5.91
Student_00228,Engineering,BITS 28,1,8.22,10.0,2026,0,0,,3,South,26.46,0.32,1,1,1,19.0
Student_00229,MBA,Regional Institute 29,2,8.41,10.0,2026,0,0,,3,South,23.12,0.28,1,1,1,15.21
Student_00230,MCA,NIT 30,1,7.92,10.0,2024,3,12,Startup,4,West,17.26,0.21,1,1,1,11.39
Student_00231,Engineering,Academy of 31,3,6.66,10.0,2025,0,0,,2,West,12.4,0.15,0,1,1,
Student_00232,MCA,Institute of 32,3,6.46,10.0,2024,3,9,Startup,1,Central,6.18,0.07,0,1,1,
Student_00233,MSc,College of 33,3,8.52,10.0,2026,1,4,Startup,4,North,5.47,0.07,1,1,1,3.43
Student_00234,Engineering,State Engineering College 34,2,6.84,10.0,2024,0,0,,2,South,16.59,0.2,0,0,1,
